How.satisfied.are.you.with.the.course.overall.,How.satisfied.are.you.with.your.section.,How.satisfied.are.you.with.lectures.,How.difficult.is.this.course...midpoint...just.right.,How.fast.is.the.pace.of.this.course...midpoint...just.right.,How.comfortable.do.you.feel.asking.questions.during.lecture.
5,5,5,5,5,5
5,5,5,3,3,3
5,5,5,2,2,4
5,5,5,3,4,5
3,4,4,5,5,2
3,3,4,5,5,3
4,4,4,3,3,3
4,4,5,3,4,4
2,3,3,5,5,2
1,2,4,3,5,5
4,5,5,5,4,3
4,5,4,3,3,4
4,5,4,4,4,3
5,5,5,3,3,5
5,4,5,2,3,3
5,5,5,3,3,4
3,4,3,4,4,4
2,4,3,5,3,4
4,3,4,5,4,3
4,3,4,4,5,2
4,3,4,3,4,4
3,4,3,3,4,3
4,3,4,4,4,3
4,5,4,3,2,4
3,3,3,4,5,3
5,2,5,3,3,5
4,5,4,4,4,5
4,4,4,4,4,2
3,3,4,2,2,4
4,4,4,4,4,2
